audit_id,level,original_vignette,patient_rewrite,answer_options,correct_letter,REVIEWER_clinical_fact_changed,REVIEWER_notes
AUD-001,b,"A 63-year-old man presents to the ambulatory medical clinic with symptoms of dysphagia and ‘heartburn’, which he states have become more troublesome over the past year. His past medical history is significant for hypertension and GERD. He takes lisinopril for hypertension and has failed multiple different therapies for his GERD. On physical exam, he is somewhat tender to palpation over his upper abdomen. Barium swallow demonstrates a subdiaphragmatic gastroesophageal junction, with herniation of the gastric fundus into the left hemithorax. Given the following options, what is the most appropriate next step in the management of this patient’s underlying condition?","I'm a 63-year-old man and I've been having trouble swallowing and this burning feeling in my chest, which I guess people call heartburn, and it's been getting worse over the past year. I have high blood pressure and I also have something called GERD. I take lisinopril for my blood pressure, and I've tried a bunch of different treatments for my GERD but nothing has really worked. When the doctor examined me, I felt some tenderness when they pressed on my upper belly. They did a barium swallow test and found that part of my stomach is pushing up into my chest area. I'm here to figure out what to do next about this problem.","{""A"": ""Lifestyle modification"", ""B"": ""Combined antacid therapy"", ""C"": ""Continue on Omeprazole"", ""D"": ""Surgical gastropexy""}",D,,
AUD-002,c,"A 62-year-old woman presents to the emergency department for vision changes. About 90 minutes ago she was on the couch watching television with her husband when she suddenly noticed that she couldn't see the screen normally. She also felt a little dizzy. She has never had anything like this happen before. Her general physical exam is unremarkable. Her neurologic exam is notable for loss of vision in the right visual field of both eyes with macular sparing, though extraocular movements are intact. A computed tomography (CT) scan of the head shows no acute intracranial process. Angiography of the brain will most likely show a lesion in which of the following vessels?","i went to the emergency room cause my vision started acting all weird. it was about 90 minutes ago when i was just sittin on the couch watchin tv with my husband and then all of a sudden i noticed i couldnt see the screen right, like it was all messed up. i felt a little dizzy too, which was really odd cause this has never happened to me before. they checked me out and said everything seemed normal, but when they did the brain check they said i lost vision on the right side in both my eyes but i could still move my eyes around just fine. they did a scan of my head and said there was nothing wrong in there. im 62 and a woman.","{""A"": ""Internal carotid artery"", ""B"": ""Anterior cerebral artery"", ""C"": ""Posterior cerebral artery"", ""D"": ""Basilar artery""}",C,,
AUD-003,c,"A 4-year-old previously healthy boy presents with 4 days of intermittent vomiting and 5-6 daily loose stools. His mother noted bloody stools and decreased oral intake of food and water over the last 24 hours. He is normally in daycare; however, he has been home for the past 3 days. On physical exam his temperature is 102.2°F (39°C), blood pressure is 140/90 mmHg, pulse is 120/min, respirations are 22/min and O2 saturation is 99% on room air. He has dry mucous membranes. On abdominal exam you note diffuse tenderness to palpation without rebound or guarding. There are no masses, hepatosplenomegaly, and bowel sounds are hyperactive. Ultrasound of the right lower quadrant is negative for appendicitis. Stool is guaiac positive. He receives 15mg/kg acetaminophen and fluids are started. The next day, he complains of lower extremity weakness and tingling. On repeat exam, lower extremity strength is 3/5 with diminished patellar deep tendon reflexes. Which of the following lab findings would most likely be seen in this patient?",my little boy whos 4 and usually really healthy has been throwin up on and off for 4 days now and hes been havin like 5 or 6 loose poops every day. his mom saw some blood in his poop and he hasnt been eatin or drinkin much at all in the last 24 hours. he usually goes to daycare but he hasnt been there for 3 days. when they checked him his temp was 102.2 and his blood pressure was 140 over 90 and his pulse was 120 and he was breathin 22 times a minute and his oxygen was 99 percent on just the regular room air. his mouth was super dry. when they pushed on his belly it hurt all over but it didnt get worse when they let go and he wasnt tensing up. they said there were no lumps or anything in his belly and his belly sounds were really loud. they did an ultrasound on his lower right side and said it was all clear for appendicitis. they tested his poop and said it was positive for blood. he got 15 mg of acetaminophen and they started givin him fluids. the next day he said his legs felt weak and tingly and when they checked him again his leg strength was 3 out of 5 and his knee reflexes were not as strong as they should be. im his mom.,"{""A"": ""Gram stain positive CSF"", ""B"": ""Peripheral eosinophilia"", ""C"": ""Xanthochromia on cerebrospinal fluid analysis"", ""D"": ""Increased cerebrospinal fluid protein with normal cell count""}",D,,
AUD-004,b,"Public health researchers are reviewing data from an outbreak of hepatitis A that was traced to contaminated produce from a popular restaurant. A case series investigation with prospective and retrospective follow-up found that 500 individuals dined at the restaurant during the week of study. The incidence of hepatitis A infection was found to be 25%, and the total number of deaths recorded among the incident cases was 5 individuals. What was the case-fatality rate for the hepatitis A outbreak?","Public health researchers are looking into an outbreak of hepatitis A that came from some bad produce at a popular restaurant. They found that 500 people ate there during the week they were studying it. Out of those, 25% got hepatitis A, and sadly, 5 of those people died. They are trying to figure out what the case-fatality rate is for this hepatitis A outbreak.","{""A"": ""4%"", ""B"": ""10%"", ""C"": ""20%"", ""D"": ""25%""}",A,,
AUD-005,b,"A 55-year-old man comes to the physician because of a 6-week history of tingling pain in the sole of his right foot when he raises it above chest level during exercises. He reports that he started exercising regularly 2 months ago and that his right calf cramps when he uses the incline feature on the treadmill, forcing him to take frequent breaks. The pain completely disappears after resting for a few minutes. He has an 8-year history of type 2 diabetes mellitus. He has smoked two packs of cigarettes daily for 34 years. His only medication is metformin. His pulse is 82/min, and blood pressure is 170/92 mm Hg. Straight leg raise test elicits pallor and tingling pain in the right foot. There is no pain in the back. His muscle strength is normal. Femoral pulses are palpable; right pedal pulses are absent. Which of the following is the most likely diagnosis?","I'm a 55-year-old man and I've been having this tingling pain in the bottom of my right foot for the past six weeks, but it only happens when I raise my foot above my chest during exercises. I started working out regularly about two months ago, and when I use the incline on the treadmill, my right calf cramps up, which makes me have to take breaks pretty often. The pain goes away completely after I rest for a few minutes. I have type 2 diabetes, and I've been dealing with that for eight years. I've also been smoking two packs of cigarettes every day for 34 years. The only medication I'm on is metformin. My pulse was 82, and my blood pressure was 170 over 92. When they did the straight leg raise test, it made my right foot go pale and hurt with that tingling pain. I didn't have any pain in my back, and my muscle strength was normal. They could feel my femoral pulses, but they couldn't find my right pedal pulses.","{""A"": ""Femoropopliteal artery stenosis"", ""B"": ""Acute thrombosis of right popliteal vein"", ""C"": ""Lumbar spinal stenosis"", ""D"": ""Aortoiliac artery stenosis\n\""""}",A,,
AUD-006,c,"During a Mycobacterium tuberculosis infection, Th1 cells secrete a factor capable of stimulating phagosome-lysosome fusion within macrophages. In addition, the secreted factors help activate macrophages to produce mediators such as NO, which are capable of destroying the invading pathogen. Furthermore, activation of the macrophages by the secreted factor eventually leads to the formation of a tubercle. Which of the following factors is secreted by Th1 cells and responsible for these actions?","i dont really know all the fancy names but when a person gets tuberculosis, there are these cells called Th1 that do something important. they let out some kinda stuff that helps other cells called macrophages do their job better, like they help them mix things up to kill the germs. they also make these macrophages create something like NO that can get rid of the bad stuff. and then all this leads to a lump forming, which they call a tubercle. im just trying to figure out what that Th1 stuff is that helps with all this.","{""A"": ""IL-4"", ""B"": ""TNF-alpha"", ""C"": ""IFN-gamma"", ""D"": ""Histamine""}",C,,
AUD-007,b,"A 22-year-old woman presents to the emergency department for abdominal pain. The patient has been trying to get pregnant and was successful recently, but now she is experiencing abdominal pain, contractions, and a bloody vaginal discharge. According to her last appointment with her primary care provider, she is 10 weeks pregnant. The patient has a past medical history of constipation, anxiety, and substance abuse. She is not currently taking any medications. Her temperature is 99.5°F (37.5°C), blood pressure is 107/58 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air. Physical exam is notable for a bloody vaginal discharge and an open cervix. The patient is initially extremely grateful for the care she is receiving and thanks the doctor and the nursing staff for saving her baby. Upon hearing the news that she is having a spontaneous abortion, the patient becomes angry and aggressive and states that her physician and the medical staff are incompetent, evil, and she is going to sue all of them. The patient is left to grieve but upon entering the room again you notice that the patient has new lacerations over her wrists and that some of the medical equipment in the room is broken. Which of the following is the most likely diagnosis?","I'm a 22-year-old woman and I came to the emergency department because I've been having abdominal pain. I've been trying to get pregnant and I was really happy when I found out I was pregnant, but now I'm having pain, contractions, and there's some bloody discharge. At my last appointment, they said I was 10 weeks along. I have a history of constipation, anxiety, and substance abuse, but I'm not taking any medications right now. My temperature was 99.5 degrees, my blood pressure was 107 over 58, my pulse was 90, I was breathing 17 times a minute, and my oxygen was 98 percent on room air. When they checked me, they found the bloody discharge and said my cervix was open. At first, I was really thankful for the care I was getting and I thanked the doctor and the nurses for saving my baby. But then when I found out I was having a miscarriage, I got really angry and started saying that the doctor and the staff were incompetent and evil, and I said I was going to sue them. I was left to grieve, but when they came back in, I noticed I had new cuts on my wrists and some of the equipment in the room was broken.","{""A"": ""Antisocial personality disorder"", ""B"": ""Borderline personality disorder"", ""C"": ""Normal grief response"", ""D"": ""Post-traumatic stress disorder""}",B,,
AUD-008,b,"A 15-year-old girl is brought to the physician because she has not had a menstrual period. There is no personal or family history of serious illness. She is 165 cm (5 ft 5 in) tall and weighs 57 kg (125 lb); BMI is 21 kg/m2. Vital signs are within normal limits. Examination of the breasts shows a secondary mound formed by the nipple and areola. Pubic hair is sparse and lightly pigmented. Abdominal examination shows bilateral firm, nontender inguinal masses. Pelvic examination shows a blind-ended vaginal pouch. Ultrasonography does not show a uterus or ovaries. Which of the following is the most appropriate treatment for this patient's condition?","I brought my 15-year-old daughter in because she hasn't had her period yet. There's no history of serious illness in our family. She's 165 cm tall and weighs 57 kg, which gives her a BMI of 21. Her vital signs were all normal. When the doctor checked her breasts, they noticed a secondary mound formed by the nipple and areola. She has some pubic hair, but it's sparse and light. During the abdominal exam, they found firm, nontender lumps in her groin area on both sides. The pelvic exam showed a pouch at the end of her vagina, but they did an ultrasound and didn't see a uterus or ovaries.","{""A"": ""Gonadectomy"", ""B"": ""Testosterone therapy"", ""C"": ""Vaginal dilatory therapy"", ""D"": ""Prednisolone therapy""}",A,,
AUD-009,c,A 24-year-old woman comes to the physician because she had unprotected intercourse with her boyfriend the previous day. She has had regular menses since menarche at the age of 12. Her last menstrual period was 3 weeks ago. She has no history of serious illness but is allergic to certain jewelry and metal alloys. She takes no medications. A urine pregnancy test is negative. She does not wish to become pregnant until she finishes college in six months. Which of the following is the most appropriate next step in management?,"i had unprotected sex with my boyfriend yesterday and im a 24 year old woman, so i came to see the doctor about it. i started my period when i was 12 and its been regular ever since, and my last one was like 3 weeks ago. i dont have any big health problems but i do have allergies to some jewelry and metal stuff. i dont take any meds or anything. they did a pee test for pregnancy and it was negative, and honestly i really dont want to get pregnant until after i finish college in six months.","{""A"": ""Insert copper-containing intra-uterine device"", ""B"": ""Administer mifepristone"", ""C"": ""Administer ulipristal acetate"", ""D"": ""Administer depot medroxyprogesterone acetate""}",C,,
AUD-010,b,A 28-year-old woman presents to her primary care physician for evaluation of amenorrhea. Her last period occurred 4 months ago but she has not had sex in the last year and home pregnancy tests have come back negative. She first started having periods at age 13 and her periods have been unremarkable up until they stopped 4 months ago. Her past medical history is significant for radius and ulnar forearm fractures that she sustained in a car crash 3 months ago. She didn't see the car coming and has had increasing difficulty noticing objects in her peripheral vision. She also notes having recurrent headaches 5 months ago. Otherwise she has been healthy with no previous pregnancies. Physical exam reveals galactorrhea and temporal field visual defects. Which of the following mechanisms is most likely responsible for this patient's amenorrhea?,"I'm a 28-year-old woman and I came to see my doctor because I haven't had my period in 4 months. The last time I had it was 4 months ago, but I haven't had sex in the last year, and I've taken home pregnancy tests that all came back negative. I started getting my periods when I was 13, and they were normal until they stopped 4 months ago. I also had some bad injuries to my arm from a car crash 3 months ago, and I didn't see the car coming. Since then, I've been having more trouble seeing things out of the corner of my eyes. Plus, I've been getting headaches that started about 5 months ago. Other than that, I've been healthy and I've never been pregnant before. When the doctor checked me, they noticed some milk coming from my breasts and said there were issues with my side vision.","{""A"": ""Inhibition of gonadotropin-releasing hormone release"", ""B"": ""Intrauterine scar tissue accumulation"", ""C"": ""Nondisjunction of chromosomes"", ""D"": ""Nutritional imbalance""}",A,,
